2019-04-16T17:52:22.012,Registration1966427014,1KM
2019-04-16T17:56:20.316,Registration1963630968,1KM
2019-04-16T18:19:26.551,Registration724144023,1KM
2019-04-16T18:19:28.536,Registration1378596817,1KM
2019-04-16T18:19:32.538,Registration808490525,1KM
2019-04-16T19:05:55.134,Registration696099720,1KM
2019-04-16T19:05:59.126,Registration1849232808,1KM
2019-04-16T19:06:00.626,Registration723562722,1KM
2019-04-16T19:08:24.218,Registration1228679134,1KM
2019-04-16T19:08:33.210,Registration572680389,1KM
2019-04-16T19:08:36.215,Registration758375997,1KM
2019-04-16T19:08:47.221,Registration668099900,1KM
2019-04-16T19:08:52.218,Registration1966821339,1KM
2019-04-16T19:11:19.052,Registration96350031,1KM
2019-04-16T19:11:23.043,Registration721260352,1KM
2019-04-16T19:11:25.044,Registration955076318,1KM
2019-04-16T19:11:27.046,Registration692275710,1KM
2019-04-16T19:11:31.048,Registration1543675003,1KM
2019-04-16T19:11:33.049,Registration83968774,1KM
2019-04-16T19:11:37.052,Registration1900334630,1KM
2019-04-16T19:13:54.252,Registration682466833,1KM
2019-04-16T19:13:55.678,Registration1012669071,1KM
2019-04-16T19:13:57.899,Registration96350031,1KM
2019-04-16T19:13:59.244,Registration692275710,1KM
2019-04-16T19:14:00.399,Registration504062452,1KM
2019-04-16T19:14:03.903,Registration694075226,1KM
2019-04-16T19:14:05.907,Registration441549900,1KM
2019-04-16T19:16:01.849,Registration1863091570,1KM
2019-04-16T19:16:06.341,Registration915072617,1KM
2019-04-16T19:16:07.463,Registration504062452,1KM
2019-04-16T19:16:12.844,Registration1219997009,1KM
2019-04-16T19:45:33.999,Registration634262782,1KM
2019-04-16T19:45:37.985,Registration1055397395,1KM
2019-04-16T19:45:40.486,Registration505070523,1KM
2019-04-16T19:45:42.986,Registration904862602,1KM
2019-04-16T19:45:45.987,Registration1336954600,1KM
2019-04-16T19:45:47.988,Registration1501376657,1KM
2019-04-16T19:45:49.490,Registration1668102460,1KM
2019-04-16T19:45:52.991,Registration1933112131,1KM
2019-04-16T19:45:56.492,Registration1717349600,1KM
2019-04-16T19:46:00.494,Registration786876807,1KM
2019-04-16T19:46:02.496,Registration469581376,1KM
2019-04-16T19:46:03.996,Registration1279396910,1KM
2019-04-16T19:46:08.998,Registration203894616,1KM
2019-04-16T19:50:38.386,Registration1863091570,1KM
2019-04-16T19:50:40.355,Registration1712365380,1KM
2019-04-16T19:50:56.360,Registration919760783,1KM
2019-04-16T19:50:58.364,Registration782939244,1KM
2019-04-16T19:51:00.864,Registration1336954600,1KM
2019-04-16T20:06:44.390,Registration1712365380,1KM
2019-04-16T20:06:48.381,Registration1012669071,1KM
2019-04-16T20:06:50.883,Registration504062452,1KM
2019-04-16T20:06:58.386,Registration89467536,1KM
2019-04-16T20:11:35.649,Registration96350031,1KM
2019-04-16T20:11:37.138,Registration1012669071,1KM
2019-04-16T20:11:41.641,Registration592836786,1KM
2019-04-16T20:11:43.643,Registration121328020,1KM
2019-04-16T20:11:47.645,Registration1772929596,1KM
2019-04-16T20:11:51.648,Registration604567356,1KM
2019-04-16T20:12:01.654,Registration1416415396,1KM
2019-04-16T20:13:40.925,Registration1031667730,1KM
2019-04-16T20:13:43.917,Registration1515655047,1KM
2019-04-16T20:13:45.418,Registration84610477,1KM
2019-04-16T20:13:46.918,Registration1563459883,1KM
2019-04-16T20:13:49.691,Registration1114552525,1KM
2019-04-16T20:13:51.922,Registration401329425,1KM
2019-04-16T20:13:53.194,Registration50869833,1KM
2019-04-16T20:15:37.161,Registration915072617,1KM
2019-04-16T20:15:41.151,Registration1031667730,1KM
2019-04-16T20:15:43.652,Registration504062452,1KM
2019-04-16T20:18:06.145,Registration96350031,1KM
2019-04-16T20:18:20.136,Registration63792533,1KM
2019-04-16T20:18:22.140,Registration919760783,1KM
2019-04-16T20:18:24.639,Registration1913874026,1KM
2019-04-16T20:18:26.141,Registration1247537225,1KM
2019-04-16T20:18:38.720,Registration496426541,1KM
2019-04-16T20:24:37.646,Registration1975598230,1KM
2019-04-16T20:24:44.620,Registration1514608634,1KM
2019-04-16T20:24:47.122,Registration389137485,1KM
2019-04-16T20:24:49.126,Registration904118594,1KM
2019-04-16T20:24:52.124,Registration1328441298,1KM
2019-04-16T20:24:53.623,Registration852744579,1KM
2019-04-16T20:24:55.625,Registration1352878746,1KM
2019-04-16T20:24:57.625,Registration1295133999,1KM
2019-04-16T20:25:00.129,Registration1554488527,1KM
2019-04-16T20:25:02.628,Registration697296428,1KM
2019-04-16T20:25:06.631,Registration192157086,1KM
2019-04-16T20:25:09.130,Registration713143441,1KM
2019-04-16T20:25:10.632,Registration1114493971,1KM
2019-04-16T20:25:11.634,Registration1378795597,1KM
2019-04-16T20:25:13.133,Registration759576103,1KM
2019-04-16T20:25:14.636,Registration624963768,1KM
2019-04-16T20:25:16.135,Registration1787351631,1KM
2019-04-16T20:25:18.137,Registration178382190,1KM
2019-04-16T20:25:24.640,Registration361278867,1KM
2019-04-16T20:25:26.640,Registration947410097,1KM
2019-04-16T20:25:29.643,Registration729832911,1KM
2019-04-16T20:30:54.207,Registration789363558,1KM
2019-04-16T20:31:00.198,Registration1888104989,1KM
2019-04-16T20:31:03.197,Registration1962209278,1KM
2019-04-16T20:31:39.795,Registration1215964758,1KM
2019-04-16T20:31:41.797,Registration731446864,1KM
2019-04-16T20:31:42.798,Registration1018290490,1KM
2019-04-16T20:31:45.799,Registration879976453,1KM
2019-04-16T20:31:47.300,Registration112918485,1KM
2019-04-16T20:31:48.733,Registration496580335,1KM
2019-04-16T20:31:50.124,Registration1284298567,1KM
2019-04-16T21:08:33.666,Registration235000406,1KM
2019-04-16T21:08:36.135,Registration1461806333,1KM
2019-04-16T21:08:37.636,Registration194127497,1KM
2019-04-16T21:08:40.137,Registration961789362,1KM
2019-04-16T21:08:44.638,Registration926900738,1KM
2019-04-16T21:08:46.140,Registration227303431,1KM
2019-04-16T21:08:48.640,Registration928290841,1KM
2019-04-16T21:08:50.141,Registration1747716430,1KM
2019-04-16T21:08:52.643,Registration453788989,1KM
2019-04-16T21:08:55.143,Registration605457780,1KM
2019-04-16T21:10:41.208,Registration1516203604,1KM
2019-04-16T21:10:47.194,Registration341365505,1KM
2019-04-16T21:10:49.197,Registration439475355,1KM
2019-04-16T21:10:51.698,Registration191515691,1KM
2019-04-16T21:10:56.199,Registration818688166,1KM
2019-04-16T21:11:01.201,Registration1300033353,1KM
2019-04-16T21:11:05.203,Registration255513506,1KM
2019-04-16T21:11:06.704,Registration333750367,1KM
2019-04-16T21:16:51.034,Registration327880829,1KM
2019-04-16T21:16:55.025,Registration1686539247,1KM
2019-04-16T21:17:07.032,Registration1209086200,1KM
2019-04-16T21:17:08.533,Registration163055056,1KM
2019-04-16T21:17:10.034,Registration62690514,1KM
2019-04-16T21:17:15.035,Registration470679235,1KM
2019-04-16T21:17:17.536,Registration884233875,1KM
2019-04-16T21:17:20.037,Registration1535771685,1KM
2019-04-16T21:17:24.039,Registration1268196451,1KM
2019-04-16T21:17:26.540,Registration1119855191,1KM
2019-04-16T21:17:29.041,Registration417330359,1KM
2019-04-16T21:18:03.978,Registration323032170,1KM
2019-04-16T21:18:11.971,Registration1860284838,1KM
2019-04-16T21:18:13.472,Registration473048501,1KM
2019-04-16T21:18:14.974,Registration148073486,1KM
2019-04-16T21:18:17.992,Registration1955754910,1KM
2019-04-16T21:18:19.476,Registration1778956378,1KM
2019-04-16T21:18:20.976,Registration1009169760,1KM
2019-04-16T21:18:22.977,Registration1191945832,1KM
2019-04-16T21:18:24.978,Registration419403234,1KM
2019-04-16T21:18:32.419,Registration1521412597,1KM
2019-04-16T21:18:33.917,Registration1300780084,1KM
2019-04-16T21:18:35.421,Registration628604200,1KM
2019-04-16T21:18:37.421,Registration754230498,1KM
2019-04-16T21:18:38.918,Registration217706663,1KM
2019-04-16T21:18:39.987,Registration402338321,1KM
2019-04-16T21:18:41.486,Registration295332779,1KM
2019-04-16T21:18:43.554,Registration1405569043,1KM
2019-04-16T21:18:46.052,Registration567835841,1KM
2019-04-16T21:18:50.556,Registration1138983989,1KM
2019-04-16T21:39:20.984,Registration191141056,1KM
2019-04-16T21:39:30.979,Registration1531047016,1KM
2019-04-16T21:39:32.981,Registration650181657,1KM
2019-04-16T21:39:36.983,Registration79527847,1KM
2019-04-16T21:39:40.986,Registration289038550,1KM
2019-04-16T21:39:45.988,Registration352669293,1KM
2019-04-16T21:39:47.990,Registration1174049709,1KM
2019-04-16T21:39:49.487,Registration1845435836,1KM
2019-04-16T21:39:50.992,Registration1076792317,1KM
2019-04-16T21:39:53.491,Registration833094055,1KM
2019-04-16T21:39:55.996,Registration1005077313,1KM
2019-04-16T21:40:06.001,Registration226234285,1KM
2019-04-16T21:40:07.500,Registration1911477978,1KM
2019-04-16T21:40:09.002,Registration1028719749,1KM
2019-04-16T21:40:40.731,Registration965842399,1KM
2019-04-16T21:40:45.753,Registration755900463,1KM
2019-04-16T21:40:50.755,Registration1808866861,1KM
2019-04-16T21:40:52.756,Registration1983978162,1KM
2019-04-16T21:40:56.759,Registration728639730,1KM
2019-04-16T21:41:03.762,Registration620711818,1KM
2019-04-16T21:41:05.763,Registration1116442699,1KM
2019-04-16T21:41:10.267,Registration1233804680,1KM
2019-04-16T21:41:12.767,Registration1522494035,1KM
2019-04-16T21:41:14.770,Registration1683000521,1KM
2019-04-16T21:41:16.769,Registration283268581,1KM
2019-04-16T21:41:19.264,Registration117093931,1KM
2019-04-16T21:41:20.762,Registration1794511826,1KM
2019-04-16T21:41:23.273,Registration1005077313,1KM
